appId,content,stars,at,thumbsUpCount
nimbus,Cancelled the subscription and was billed again the following month. And then the sync spinner runs forever and then just stops without an error.,2,2025-06-13,0
fittrack,I screenshot my stats each month because there is no proper export. But tracking a one hour walk drains forty percent of my battery.,1,2025-03-01,49
payflow,The exchange rate at confirmation is worse than the one advertised. And then uploaded my documents four times and each time it asks again.,1,2025-04-23,8
fittrack,Been using it for two years and the history view is excellent.,5,2025-05-25,11
payflow,Setting up a new recipient is quick and painless. Please fix this.,5,2025-10-04,42
payflow,Uploaded my documents four times and each time it asks again. But the chat bot loops back to the same articles and there is no human option.,1,2026-02-01,0
nimbus,Paying for a plan and still hitting a device limit is not acceptable.,2,2025-07-19,2
fittrack,There is no way to get my own data out in a usable format. But gps drifts badly so a five kilometre run is logged as seven.,1,2025-01-11,0
nimbus,The app closed itself and my unsaved draft was simply gone. Genuinely considering switching.,2,2025-04-14,0
payflow,Clean app and the recipient management is well done. Genuinely considering switching.,5,2025-04-04,5
payflow,Had to complain publicly before anyone responded to me.,1,2026-01-14,24
nimbus,No autosave means one crash costs me a whole meeting's notes.,1,2025-03-30,2
fittrack,"Great app for keeping a streak going, the reminders work well.",4,2025-10-01,7
fittrack,Interface is clear and logging a session takes seconds.,5,2025-06-10,3
fittrack,There is no way to get my own data out in a usable format. And then gps drifts badly so a five kilometre run is logged as seven.,2,2026-06-12,2
payflow,Money disappeared for six days before reappearing with no message.,1,2026-05-13,11
fittrack,Years of training history locked in with no export button anywhere. Also phone gets hot and the battery is dead before i get home.,2,2025-01-19,21
nimbus,I was charged for a yearly plan straight after the trial with no reminder.,3,2026-01-05,1
payflow,"Charged a fee for a transfer that then failed, and the fee was not refunded. And then uploaded my documents four times and each time it asks again.",2,2025-07-24,2
fittrack,Years of training history locked in with no export button anywhere.,3,2025-02-19,7
nimbus,Search does not find text that I can see with my own eyes in a note. But refund request has gone unanswered for two weeks.,2,2026-01-19,0
fittrack,The watch and the app disagree about how many steps I took today.,2,2025-01-30,11
payflow,Uploaded my documents four times and each time it asks again. Genuinely considering switching.,1,2025-10-18,1
fittrack,"Distance is wrong every single time, so I now carry a separate watch. On top of that pairing drops constantly and i have to re-pair the watch every week. Genuinely considering switching.",1,2025-11-30,2
payflow,Setting up a new recipient is quick and painless. Otherwise a decent app.,4,2025-11-07,3
nimbus,Paying for a plan and still hitting a device limit is not acceptable. Nobody seems to be looking at it.,2,2025-06-20,2
nimbus,I have taken to copying important notes into a plain text file as a backup.,1,2025-07-04,4
fittrack,Tracking a one hour walk drains forty percent of my battery.,1,2026-06-29,3
nimbus,"Had to log out and back in again to force a sync, which lost my drafts. And then searching only matches titles, never the body, so i scroll manually instead.",2,2026-03-30,2
nimbus,No autosave means one crash costs me a whole meeting's notes.,2,2025-05-06,1
nimbus,"Searching only matches titles, never the body, so I scroll manually instead.",1,2026-05-06,2
nimbus,Tags are useless because search ignores them completely. On top of that the sync spinner runs forever and then just stops without an error. Rating will go up when it is fixed.,2,2025-06-22,1
nimbus,Sync silently fails and I only notice when a note is missing at work.,1,2025-08-06,0
payflow,Stuck in an endless identity verification loop that never completes.,1,2025-03-09,0
fittrack,"Distance is wrong every single time, so I now carry a separate watch.",1,2025-03-28,0
fittrack,GPS drifts badly so a five kilometre run is logged as seven. Also there is no way to get my own data out in a usable format. Genuinely considering switching.,1,2025-10-22,1
fittrack,I screenshot my stats each month because there is no proper export.,2,2025-05-11,5
payflow,Account locked for a security check with no way to speak to anyone.,1,2025-04-09,4
fittrack,I have started logging runs manually afterwards because the tracking cannot be trusted.,1,2026-02-16,6
fittrack,GPS drifts badly so a five kilometre run is logged as seven.,1,2025-06-28,22
nimbus,"Searching only matches titles, never the body, so I scroll manually instead. Please fix this.",2,2026-01-17,1
fittrack,Phone gets hot and the battery is dead before I get home. On top of that the watch and the app disagree about how many steps i took today.,1,2025-04-23,23
payflow,Had to complain publicly before anyone responded to me. Rating will go up when it is fixed.,2,2026-01-15,0
payflow,Transfer failed but the money left my account and has not come back.,2,2025-10-08,2
fittrack,The route map shows me running through buildings and across a river.,1,2026-01-31,3
payflow,Support has not replied to my ticket in three weeks.,2,2026-02-24,1
payflow,Money disappeared for six days before reappearing with no message.,1,2025-11-08,19
nimbus,"Simple, quick and does exactly what I need day to day.",5,2025-06-01,0
fittrack,Interface is clear and logging a session takes seconds.,5,2025-05-05,0
fittrack,"Distance is wrong every single time, so I now carry a separate watch.",1,2025-09-19,3
fittrack,"Pairing drops constantly and I have to re-pair the watch every week. And then distance is wrong every single time, so i now carry a separate watch.",2,2026-03-04,0
nimbus,Finding an old note takes longer than rewriting it.,2,2025-05-09,3
fittrack,Background tracking eats power even when I am not exercising.,2,2026-05-11,0
fittrack,"I export from the watch app and import here manually, which is ridiculous.",3,2025-05-14,2
fittrack,I have started logging runs manually afterwards because the tracking cannot be trusted.,1,2025-10-14,0
fittrack,I screenshot my stats each month because there is no proper export.,2,2026-05-07,2
payflow,Transfer failed but the money left my account and has not come back.,2,2026-05-12,2
payflow,Stuck in an endless identity verification loop that never completes.,1,2025-01-12,0
nimbus,I was charged for a yearly plan straight after the trial with no reminder. And then no autosave means one crash costs me a whole meeting's notes.,2,2025-10-28,1
payflow,The exchange rate at confirmation is worse than the one advertised. Rating will go up when it is fixed.,1,2025-03-15,0
fittrack,Interface is clear and logging a session takes seconds.,5,2025-10-06,0
nimbus,Lost an hour of writing when the app crashed without saving.,1,2025-06-25,16
payflow,I compare against another provider before every transfer now. On top of that had to complain publicly before anyone responded to me. Rating will go up when it is fixed.,2,2026-05-02,1
fittrack,Background tracking eats power even when I am not exercising.,2,2026-06-28,1
fittrack,Export produces a file that no other fitness app will read. And then i keep a power bank in my pocket now just to finish a long ride.,2,2025-02-14,2
payflow,I use my bank's own app now because at least the transfers complete.,1,2026-05-27,0
payflow,Clean app and the recipient management is well done.,5,2025-04-02,29
fittrack,"I export from the watch app and import here manually, which is ridiculous. But export produces a file that no other fitness app will read.",2,2025-10-15,6
payflow,I compare against another provider before every transfer now.,2,2025-01-21,15
payflow,I use my bank's own app now because at least the transfers complete. Rating will go up when it is fixed.,1,2025-07-20,0
payflow,Account locked for a security check with no way to speak to anyone. Also sent a payment that shows as pending five days later with no explanation.,2,2025-09-15,12
nimbus,I have taken to copying important notes into a plain text file as a backup.,2,2026-05-22,1
nimbus,"I now write everything in another app first and paste it in, which defeats the point.",1,2026-03-31,0
nimbus,"Searching only matches titles, never the body, so I scroll manually instead.",2,2025-04-19,1
payflow,Transfer failed but the money left my account and has not come back.,2,2025-07-19,0
payflow,Fees are not shown until after the transfer is authorised.,3,2025-01-12,0
payflow,Verification rejected my passport twice with no reason given. This has been going on for months now.,1,2026-06-20,5
fittrack,"I keep a power bank in my pocket now just to finish a long ride. But distance is wrong every single time, so i now carry a separate watch.",1,2025-12-19,2
fittrack,Interface is clear and logging a session takes seconds. Happens on both my devices.,5,2025-11-28,0
fittrack,Export produces a file that no other fitness app will read.,2,2025-07-19,6
nimbus,The app closed itself and my unsaved draft was simply gone. But my notes stopped syncing between my laptop and my phone three days ago.,1,2026-03-08,10
payflow,I compare against another provider before every transfer now.,1,2025-05-21,0
nimbus,The upgrade screen does not say what the free tier actually loses.,1,2026-05-21,17
payflow,Account locked for a security check with no way to speak to anyone. Also fees are not shown until after the transfer is authorised. Otherwise a decent app.,1,2025-09-12,1
payflow,Sent a payment that shows as pending five days later with no explanation.,1,2025-06-14,2
nimbus,The sync spinner runs forever and then just stops without an error. Rating will go up when it is fixed.,1,2026-06-29,1
nimbus,Search does not find text that I can see with my own eyes in a note.,2,2026-05-07,4
payflow,Had to complain publicly before anyone responded to me.,2,2025-04-29,0
nimbus,Paying for a plan and still hitting a device limit is not acceptable. Otherwise a decent app.,1,2025-08-08,1
fittrack,The training plans are genuinely well designed and easy to follow.,5,2026-01-10,0
fittrack,Been using it for two years and the history view is excellent.,5,2025-02-28,0
fittrack,Phone gets hot and the battery is dead before I get home. But the route map shows me running through buildings and across a river.,1,2025-12-12,2
payflow,Clean app and the recipient management is well done.,4,2025-03-13,2
fittrack,Pace readings jump around wildly and ruin the whole activity. But export produces a file that no other fitness app will read.,1,2025-04-24,18
fittrack,There is no way to get my own data out in a usable format. Very frustrating.,3,2025-02-28,1
payflow,Fees are not shown until after the transfer is authorised. On top of that transfer failed but the money left my account and has not come back. Otherwise a decent app.,1,2026-05-07,1
payflow,Had to complain publicly before anyone responded to me.,2,2025-12-07,3
payflow,Money disappeared for six days before reappearing with no message. This has been going on for months now.,2,2025-04-22,1
nimbus,Finding an old note takes longer than rewriting it. But the upgrade screen does not say what the free tier actually loses.,2,2026-01-01,7
nimbus,"I now write everything in another app first and paste it in, which defeats the point. Also my notes stopped syncing between my laptop and my phone three days ago.",1,2025-04-12,0
fittrack,Phone gets hot and the battery is dead before I get home. Nobody seems to be looking at it.,1,2025-09-09,3
fittrack,I keep a power bank in my pocket now just to finish a long ride. On top of that the route map shows me running through buildings and across a river.,1,2026-04-10,0
nimbus,"Best note app I have used, genuinely fast to open.",5,2025-04-20,5
payflow,"When it works the transfer arrives within minutes, which is impressive. Genuinely considering switching.",5,2025-12-15,0
fittrack,The route map shows me running through buildings and across a river.,1,2025-04-13,0
nimbus,Clean interface and it stays out of the way when I am writing.,5,2026-06-12,1
nimbus,Love the markdown support and the keyboard shortcuts.,5,2025-07-29,0
payflow,Uploaded my documents four times and each time it asks again.,1,2025-02-16,1
fittrack,Pairing drops constantly and I have to re-pair the watch every week.,2,2025-08-31,12
payflow,Stuck in an endless identity verification loop that never completes. And then money disappeared for six days before reappearing with no message. Nobody seems to be looking at it.,1,2026-03-25,2
fittrack,There is no way to get my own data out in a usable format.,2,2025-10-11,0
nimbus,Finding an old note takes longer than rewriting it. Happens on both my devices.,3,2026-03-27,2
fittrack,Background tracking eats power even when I am not exercising. And then there is no way to get my own data out in a usable format.,1,2025-02-20,0
fittrack,Workouts on my watch never make it into the phone app.,2,2025-02-22,1
fittrack,The route map shows me running through buildings and across a river. Very frustrating.,1,2025-06-25,0
fittrack,Tracking a one hour walk drains forty percent of my battery. Genuinely considering switching.,2,2026-02-04,10
fittrack,Interface is clear and logging a session takes seconds.,5,2025-08-01,1
payflow,Clean app and the recipient management is well done. This has been going on for months now.,5,2026-04-09,3
payflow,Verification rejected my passport twice with no reason given.,2,2026-05-25,0
